acc,stanford.acc,ID
AF544595,AF544595,NA
AF544597,AF544597,NA
AF544598,AF544598,NA
AF544599,AF544599,NA
AF544600,AF544600,NA
AF544601,AF544601,NA
AF544602,AF544602,NA
AF544604,AF544604,NA
AF544605,AF544605,NA
AF544606,AF544606,NA
AF544607,AF544607,NA
AF544608,AF544608,NA
AF544609,AF544609,NA
AF544610,AF544610,NA
AF544613,AF544613,NA
AF544614,AF544614,NA
AF544615,AF544615,NA
AF544617,AF544617,NA
AF544619,AF544619,NA
AF544620,AF544620,NA
AY030446,AY030446,NA
AY030488,AY030488,NA
AY030490,AY030490,NA
AY030508,AY030508,NA
AY030511,AY030511,NA
AY030527,AY030527,NA
AY030534,AY030534,NA
AY030540,AY030540,NA
AY030541,AY030541,NA
AY030548,AY030548,NA
AY030550,AY030550,NA
AY030553,AY030553,NA
AY030554,AY030554,NA
AY030555,AY030555,NA
AY030556,AY030556,NA
AY030557,AY030557,NA
AY030559,AY030559,NA
AY030560,AY030560,NA
AY030564,AY030564,NA
AY030565,AY030565,NA
AY030567,AY030567,NA
AY030570,AY030570,NA
AY030572,AY030572,NA
AY030573,AY030573,NA
AY030578,AY030578,NA
AY030579,AY030579,NA
AY030581,AY030581,NA
AY030582,AY030582,NA
AY030583,AY030583,NA
AY030584,AY030584,NA
AY030585,AY030585,NA
AY030588,AY030588,NA
AY030590,AY030590,NA
AY030591,AY030591,NA
AY030592,AY030592,NA
AY030594,AY030594,NA
AY030595,AY030595,NA
AY030596,AY030596,NA
AY030597,AY030597,NA
AY030599,AY030599,NA
AY030602,AY030602,NA
AY030603,AY030603,NA
AY030604,AY030604,NA
AY030607,AY030607,NA
AY030608,AY030608,NA
AY030609,AY030609,NA
AY030610,AY030610,NA
AY030611,AY030611,NA
AY030612,AY030612,NA
AY030614,AY030614,NA
AY030615,AY030615,NA
AY030616,AY030616,NA
AY030617,AY030617,NA
AY030618,AY030618,NA
AY030620,AY030620,NA
AY030621,AY030621,NA
AY030622,AY030622,NA
AY030623,AY030623,NA
AY030624,AY030624,NA
AY030625,AY030625,NA
AY030626,AY030626,NA
AY030627,AY030627,NA
AY030639,AY030639,NA
AY030640,AY030640,NA
AY030641,AY030641,NA
AY030642,AY030642,NA
AY030643,AY030643,NA
AY030644,AY030644,NA
AY030646,AY030646,NA
AY030648,AY030648,NA
AY030649,AY030649,NA
AY030650,AY030650,NA
AY030651,AY030651,NA
AY030652,AY030652,NA
AY030653,AY030653,NA
AY030656,AY030656,NA
AY030659,AY030659,NA
AY030661,AY030661,NA
AY030664,AY030664,NA
AY030665,AY030665,NA
AY030666,AY030666,NA
AY030668,AY030668,NA
AY030669,AY030669,NA
AY030670,AY030670,NA
